pr	state	mergedAt	conclusion	check_name	check_url	pr_url	title
64	MERGED	2025-12-16T01:00:47Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20252565294/job/58147669936	https://github.com/rauterfrank-ui/Peak_Trade/pull/64	docs(ops): finalize PR #63 final report
65	MERGED	2025-12-16T01:18:12Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20253154384/job/58149468891	https://github.com/rauterfrank-ui/Peak_Trade/pull/65	docs(ops): update ops final report index (PR #61-#63)
66	MERGED	2025-12-16T01:27:34Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20253268237/job/58149791652	https://github.com/rauterfrank-ui/Peak_Trade/pull/66	docs(ops): dedupe ops README audit entries for PR #61-63
67	MERGED	2025-12-16T01:49:41Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20253395924/job/58150160360	https://github.com/rauterfrank-ui/Peak_Trade/pull/67	docs(ops): finalize PR #66 final report
68	MERGED	2025-12-16T02:08:02Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20254039565/job/58152083019	https://github.com/rauterfrank-ui/Peak_Trade/pull/68	docs(ops): add Git worktree policy
69	MERGED	2025-12-16T02:20:24Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20254231630/job/58152625988	https://github.com/rauterfrank-ui/Peak_Trade/pull/69	docs(ops): add PR #59 final report + report generator
70	MERGED	2025-12-16T02:38:56Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20254508747/job/58153441890	https://github.com/rauterfrank-ui/Peak_Trade/pull/70	chore(ops): PR report validation guard + runbook
71	MERGED	2025-12-16T02:48:38Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20254697259/job/58154052402	https://github.com/rauterfrank-ui/Peak_Trade/pull/71	docs(ops): add PR #70 final report
72	MERGED	2025-12-18T07:00:24Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20328608889/job/58398772533	https://github.com/rauterfrank-ui/Peak_Trade/pull/72	docs(ops): add PR #70 final report
72	MERGED	2025-12-18T07:00:24Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20346164698/job/58458875371	https://github.com/rauterfrank-ui/Peak_Trade/pull/72	docs(ops): add PR #70 final report
73	MERGED	2025-12-16T03:39:10Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20255475048/job/58156365856	https://github.com/rauterfrank-ui/Peak_Trade/pull/73	chore(ops): enforce unicode guard in PR report automation
74	MERGED	2025-12-16T03:51:00Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20255797914/job/58157592182	https://github.com/rauterfrank-ui/Peak_Trade/pull/74	docs(ops): add PR #73 final report
75	MERGED	2025-12-16T04:02:29Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20256021754/job/58158258710	https://github.com/rauterfrank-ui/Peak_Trade/pull/75	docs(ops): add PR #74 final report
76	MERGED	2025-12-16T04:14:07Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20256178156/job/58158697247	https://github.com/rauterfrank-ui/Peak_Trade/pull/76	docs(ops): add delivery note for PR #74 final report
77	MERGED	2025-12-16T04:24:00Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20256357775/job/58159235123	https://github.com/rauterfrank-ui/Peak_Trade/pull/77	docs(ops): add PR #76 merge log
78	MERGED	2025-12-16T04:33:27Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20256529605/job/58159735868	https://github.com/rauterfrank-ui/Peak_Trade/pull/78	docs(ops): index PR #76 merge log
78	MERGED	2025-12-16T04:33:27Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20259077761/job/58167028569	https://github.com/rauterfrank-ui/Peak_Trade/pull/78	docs(ops): index PR #76 merge log
79	MERGED	2025-12-18T06:42:45Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20256731774/job/58160336068	https://github.com/rauterfrank-ui/Peak_Trade/pull/79	docs(ops): add PR #78 merge log + generate_merge_log.sh
80	MERGED	2025-12-18T16:43:52Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20343989664/job/58451052630	https://github.com/rauterfrank-ui/Peak_Trade/pull/80	chore(ops): add merge-log automation with loop guard
81	MERGED	2025-12-16T07:01:48Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20256529605/job/58159735868	https://github.com/rauterfrank-ui/Peak_Trade/pull/81	feat(execution): Phase 16C3 execution hardening (thread-safety, partial fills, kraken adapter)
81	MERGED	2025-12-16T07:01:48Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20259077761/job/58167028569	https://github.com/rauterfrank-ui/Peak_Trade/pull/81	feat(execution): Phase 16C3 execution hardening (thread-safety, partial fills, kraken adapter)
82	MERGED	2025-12-16T07:01:03Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20259243243/job/58167506753	https://github.com/rauterfrank-ui/Peak_Trade/pull/82	chore(repo): ignore reports/ test artifacts
83	MERGED	2025-12-16T07:15:53Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20259579576/job/58168517987	https://github.com/rauterfrank-ui/Peak_Trade/pull/83	chore(repo): stop tracking generated reports artifacts
84	MERGED	2025-12-16T07:51:47Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20260396583/job/58170943988	https://github.com/rauterfrank-ui/Peak_Trade/pull/84	chore(repo): simplify reports ignore policy
85	MERGED	2025-12-16T10:20:04Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20264183349/job/58183206172	https://github.com/rauterfrank-ui/Peak_Trade/pull/85	feat(reporting): phase57 live status snapshot endpoints (json+html)
86	MERGED	2025-12-16T10:27:36Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20264573179/job/58184522377	https://github.com/rauterfrank-ui/Peak_Trade/pull/86	docs(ops): add PR #85 merge log
87	MERGED	2025-12-16T13:22:13Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20269400733/job/58200876031	https://github.com/rauterfrank-ui/Peak_Trade/pull/87	docs(ops): add git state validation documentation
88	CLOSED		SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20269446427/job/58201033599	https://github.com/rauterfrank-ui/Peak_Trade/pull/88	docs(ops): add PR #87 merge log
89	MERGED	2025-12-16T13:33:28Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20269645142/job/58201723549	https://github.com/rauterfrank-ui/Peak_Trade/pull/89	docs(ops): add PR #87 merge log
90	MERGED	2025-12-16T13:53:25Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20270308518/job/58204055586	https://github.com/rauterfrank-ui/Peak_Trade/pull/90	chore(ops): add git state + post-merge verification scripts
91	CLOSED		NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/91	chore(ops): improve portfolio MTF integration script traceability
92	MERGED	2025-12-16T16:39:02Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20275522778/job/58222978894	https://github.com/rauterfrank-ui/Peak_Trade/pull/92	chore(ops): improve portfolio MTF integration script traceability
93	MERGED	2025-12-16T17:01:59Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20275997036/job/58224766081	https://github.com/rauterfrank-ui/Peak_Trade/pull/93	docs(ops): add PR #92 merge log
94	MERGED	2025-12-16T17:13:03Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20276369180/job/58226154670	https://github.com/rauterfrank-ui/Peak_Trade/pull/94	docs(ops): add PR #93 merge log
95	OPEN		NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/95	Implement 3-tier CI/CD pipeline architecture with security scanning and parallel testing
102	MERGED	2025-12-18T08:24:13Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20330497992/job/58404409253	https://github.com/rauterfrank-ui/Peak_Trade/pull/102	Implement resilience module with circuit breaker, retry logic, and health monitoring
104	MERGED	2025-12-17T06:40:10Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20294071337/job/58284018390	https://github.com/rauterfrank-ui/Peak_Trade/pull/104	Add workflow to auto-add issues to project
105	MERGED	2025-12-17T07:01:01Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20294453164/job/58285130746	https://github.com/rauterfrank-ui/Peak_Trade/pull/105	docs: Update PROJECT_BOARD_SETUP with final workflow structure
106	CLOSED		SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20317534016/job/58365064289	https://github.com/rauterfrank-ui/Peak_Trade/pull/106	Add stability and resilience infrastructure (Issue #97)
107	CLOSED		NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/107	Add CI/CD automation with quality gates, feature flags, and Apple Silicon support
108	MERGED	2025-12-18T08:07:06Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20310998693/job/58341873759	https://github.com/rauterfrank-ui/Peak_Trade/pull/108	chore(tooling): add uv + ruff lint gate
109	OPEN		SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20315423443/job/58357583246	https://github.com/rauterfrank-ui/Peak_Trade/pull/109	chore(reporting): Quarto smoke report + CI artifact
110	MERGED	2025-12-17T20:21:52Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20315958312/job/58359515491	https://github.com/rauterfrank-ui/Peak_Trade/pull/110	feat(reporting): Quarto smoke report
111	MERGED	2025-12-17T20:27:00Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20316212745/job/58360406216	https://github.com/rauterfrank-ui/Peak_Trade/pull/111	docs(ops): add PR #110 merge log
112	MERGED	2025-12-17T20:43:50Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20316616538/job/58361816508	https://github.com/rauterfrank-ui/Peak_Trade/pull/112	fix(reporting): make Quarto smoke report no-exec
113	MERGED	2025-12-18T07:33:02Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20329490839/job/58401335455	https://github.com/rauterfrank-ui/Peak_Trade/pull/113	docs(ops): add PR #112 merge log
114	MERGED	2025-12-17T21:04:59Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20317221915/job/58363961804	https://github.com/rauterfrank-ui/Peak_Trade/pull/114	fix(reporting): make Quarto smoke report truly no-exec
115	MERGED	2025-12-18T07:31:52Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20329466633/job/58401262251	https://github.com/rauterfrank-ui/Peak_Trade/pull/115	docs(ops): add PR #114 merge log
116	MERGED	2025-12-17T21:30:41Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20317767510/job/58365868087	https://github.com/rauterfrank-ui/Peak_Trade/pull/116	chore(ci): add Quarto no-exec guard
117	OPEN		FAILURE	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20331577613/job/58407904838	https://github.com/rauterfrank-ui/Peak_Trade/pull/117	Add resilience system with health checks, circuit breakers, backup/recovery, and integration examples
118	MERGED	2025-12-17T21:37:41Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20317939512/job/58366467066	https://github.com/rauterfrank-ui/Peak_Trade/pull/118	docs(ops): add PR #116 merge log
119	CLOSED		NO_AUDIT			https://github.com/rauterfrank-ui/Peak_Trade/pull/119	chore(ops): default expected-head to origin/main in post-merge verify
120	MERGED	2025-12-18T07:30:56Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20329449289/job/58401208969	https://github.com/rauterfrank-ui/Peak_Trade/pull/120	chore(ops): default expected head in post-merge verify
121	MERGED	2025-12-17T22:12:45Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20318623879/job/58368790955	https://github.com/rauterfrank-ui/Peak_Trade/pull/121	chore(ops): default expected head in post-merge verify
122	MERGED	2025-12-17T22:24:32Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20318956150/job/58369940972	https://github.com/rauterfrank-ui/Peak_Trade/pull/122	docs(ops): add PR #121 merge log
123	MERGED	2025-12-23T21:31:20Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20471755767/job/58828464972	https://github.com/rauterfrank-ui/Peak_Trade/pull/123	docs: core architecture & workflow documentation (P0+P1)
135	OPEN		SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20345559156/job/58456841348	https://github.com/rauterfrank-ui/Peak_Trade/pull/135	docs(ops): add stability & resilience plan v1
136	MERGED	2025-12-18T17:59:43Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20346327886/job/58459438070	https://github.com/rauterfrank-ui/Peak_Trade/pull/136	feat(stability): wave A contracts, cache integrity, errors, reproducibility
137	MERGED	2025-12-18T18:24:20Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20346836075/job/58461207194	https://github.com/rauterfrank-ui/Peak_Trade/pull/137	feat(stability): wave B config validation, observability, invariants, registry hardening
138	MERGED	2025-12-18T18:17:25Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20346377099/job/58459615611	https://github.com/rauterfrank-ui/Peak_Trade/pull/138	docs(ops): add PR #136 merge log
139	MERGED	2025-12-21T20:07:27Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20415075549/job/58657509553	https://github.com/rauterfrank-ui/Peak_Trade/pull/139	docs(ops): add PR #137 merge log
140	OPEN		SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20347349912/job/58462960359	https://github.com/rauterfrank-ui/Peak_Trade/pull/140	docs(stability): mark Wave A+B stack complete, add deployment runbook
141	OPEN		SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20348057294/job/58465319730	https://github.com/rauterfrank-ui/Peak_Trade/pull/141	docs(dev): add canonical runner index (tier A/B/C)
142	OPEN		SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20348835793/job/58467862758	https://github.com/rauterfrank-ui/Peak_Trade/pull/142	docs(dev): curate runner index (tier A) + evidence-chain readiness + P1 shortlist
143	MERGED	2025-12-18T20:21:45Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20350052310/job/58472063534	https://github.com/rauterfrank-ui/Peak_Trade/pull/143	feat(p1): evidence chain artifacts + optional MLflow/Quarto reporting for core runners
144	MERGED	2025-12-18T20:41:30Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20350573994/job/58473829798	https://github.com/rauterfrank-ui/Peak_Trade/pull/144	docs(reporting): clean up doc paths, avoid tracking in ignored dirs
145	MERGED	2025-12-21T20:01:29Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20415022834/job/58657369805	https://github.com/rauterfrank-ui/Peak_Trade/pull/145	docs(ops): align PR #144 merge log with standard format
146	MERGED	2025-12-21T18:26:48Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20413997175/job/58654933129	https://github.com/rauterfrank-ui/Peak_Trade/pull/146	ci(policy): guard against tracked files in reports/ and docs/reports/
147	MERGED	2025-12-19T03:56:13Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20351602912/job/58477352431	https://github.com/rauterfrank-ui/Peak_Trade/pull/147	docs(ops): add PR #143 merge log
148	MERGED	2025-12-21T18:25:33Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20352274818/job/58479605239	https://github.com/rauterfrank-ui/Peak_Trade/pull/148	docs(adr): finalize ADR_0001 + evidence chain integration + P2 backlog
149	MERGED	2025-12-18T22:49:52Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20353293023/job/58483032630	https://github.com/rauterfrank-ui/Peak_Trade/pull/149	feat(p2.2): optional OpenTelemetry wiring + lake spans
150	MERGED	2025-12-18T23:50:42Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20354881227/job/58488018050	https://github.com/rauterfrank-ui/Peak_Trade/pull/150	feat(dev): local MLflow via docker compose
151	MERGED	2025-12-21T19:56:12Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20414966700/job/58657238562	https://github.com/rauterfrank-ui/Peak_Trade/pull/151	docs(ops): add PR #150 merge log
152	MERGED	2025-12-19T00:08:40Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20355184481/job/58488983678	https://github.com/rauterfrank-ui/Peak_Trade/pull/152	docs(dev): polish local MLflow docker quickstart
153	MERGED	2025-12-21T18:24:56Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20413978130/job/58654887866	https://github.com/rauterfrank-ui/Peak_Trade/pull/153	docs(ops): add PR #152 merge log
154	MERGED	2025-12-19T00:20:44Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20355417709/job/58489710028	https://github.com/rauterfrank-ui/Peak_Trade/pull/154	chore(dev): suppress MLflow startup warnings with empty env vars
155	MERGED	2025-12-19T00:36:00Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20355622975/job/58490354594	https://github.com/rauterfrank-ui/Peak_Trade/pull/155	docs(ops): add PR #154 merge log
156	MERGED	2025-12-19T00:45:27Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20355893166/job/58491214543	https://github.com/rauterfrank-ui/Peak_Trade/pull/156	docs(ops): align PR #154 merge log with German ops style
157	MERGED	2025-12-19T03:55:55Z	SUCCESS	audit	https://github.com/rauterfrank-ui/Peak_Trade/actions/runs/20356085768/job/58491807622	https://github.com/rauterfrank-ui/Peak_Trade/pull/157	docs(ops): enhance PR #154 merge log with bilingual TL;DR
